,Part,Value,Device,Package,Description,5,buy,Price,Total,Part Number,,,,,0
1,A1,ARDUINO_PRO_NANO,ARDUINO_PRO_NANO,ARDUINO_PRO_NANO,SparkFun Arduino Pro Nano,5,0, $19.950 , $-   ,DEV-12587,Sparkfun,,,,0
2,C1,100n,CXXC10B5,XC10B5,X CAPACITOR,10,10, $0.273 , $2.73 ,80-R46KI3100JEM1M,,,,2,4
3,C4,10Âµ,CPOL-EUC/6032-28R,C/6032-28R,POLARIZED CAPACITOR. European symbol,15,20, $0.115 , $2.30 ,81-GRM219R61E106KA2D,,,,2,6
4,C7,100n,C-EUC0805,C0805,CAPACITOR. European symbol,20,30, $0.210 , $6.30 ,80-C1210C104KCRACTU,,,,2,8
4,C8,10n,C-EUC0603,C0603,CAPACITOR. European symbol,20,50, $0.040 , $2.00 ,77-VJ0603Y103KXAAC,,,,2,8
4,D1,1N4148,DIODESOD-123,SOD-123,Diode,20,30, $0.113 , $3.39 ,833-1N4148W-TP,Mouser,,,2,8
2,IC1,MAX31855,MAX31855,SOIC8,,10,10, $4.450 , $44.50 ,700-MAX31855KASA+,Mouser,,,8,16
1,IC3,LP298XS,LP298XS,SOT23-5L,,5,5, $2.590 , $12.95 ,926-LP2989AIMX33NOPB,Mouser,<<< change,,8,8
2,K1,S202S01,S202S01,S102S01,Low Height Type Solid State Relays SHARP,10,10, $5.160 , $51.60 ,852-S216S02F,Mouser,,,,0
2,KK1,SK104-PAD,SK104-PAD,SK104-PAD,HEATSINK manufacturer Fischer/distributor Buerklin,10,10, $2.120 , $21.20 ,RA-T2X-38E-ND,digikey,<<< change,,,0
1,OC1,H11A1M,H11A1M,DIL06,General Purpose 6-Pin Phototransistor Optocouplers,5,10, $0.340 , $3.40 ,512-4N25M,Mouser,,,,0
2,R1,100R,R-EU_0207/5V,0207/5V,RESISTOR. European symbol,10,10, $0.570 , $5.70 ,660-SL1TTE101J,Mouser,,,2,4
2,R3,120R,R-EU_R0603,R0603,RESISTOR. European symbol,10,100, $0.010 , $1.00 ,71-CRCW0603-120-E3,Mouser,,,2,4
2,R5,47k,R-EU_0207/5V,0207/5V,RESISTOR. European symbol,10,20, $0.130 , $2.60 ,71-CRCW1210J-47K-E3,Mouser,,,2,4
4,R8,10k,R-EU_R0603,R0603,RESISTOR. European symbol,20,100, $0.010 , $1.00 ,71-CRCW0603-10K-E3,Mouser,,,2,8
6,AC,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme,30,30, $0.385 , $11.55 ,ED2609-ND,digikey,,,,
2,ENC,,PINHD-1X4,1X04,PIN HEADER,10,12, $0.810 , $9.72 ,S6100-ND,digikey,,,,
1,,,,,Board,5,6, $6.667 , $40.00 ,,,,,,
,,,,,,0,,, $-   ,,,,,,
1,,,,,Display,5,0, $24.950 , $-   ,1480,adafruit,,,,
1,,,,,Encoder,5,5, $-   , $-   ,,,<<< Free from tim,,,
1,,,,,Cosel,5,5, $-   , $-   ,,,<<< Free from tim,,,
1,,,,,Input wire,5,6, $2.880 , $17.28 ,70161724 ,Allied,,,,
1,,,,,Output Wire,5,6, $2.880 , $17.28 ,70161726 ,Allied,,,,
,,,,,,0,,, $-   ,,,,,,
,,,,,,,,, $-   ,,,,,,
,,,,,,,,, $256.50 ,,,,,,
,,,,,,,,, $51.30 ,Each,,,,,
,,,,,,,,,,,,,,,
,,Board and components,, 60.00 ,,,,,,,,,,,
,,120 to 12v power supply,, Free ,,,,,,,,,,,
,,Sparkfun 3.3v Pro Micro Arduino,, 19.95 ,,,,,,,,,,,
,,Adafruit Display,"1.4"" ", 14.95 ,,,,,,,,,,,
,,,"1.8""", 19.95 ,,,,,,,,,,,
,,,"2.2"" ", 24.95 ,,,,,,,,,,,
